Altium Designer Pick and Place Locations
E:\Robert Mordzon\UPiS\UPiS_mainboard_V2\Project Outputs for RMorzon_UPiS_V2\Pick Place for UPiS_V2(STD).csv

========================================================================================================================
File Design Information:

Date:       06.02.26
Time:       12:17
Revision:   Not in VersionControl
Variant:    STD
Units used: mm

"Designator","Comment","Center-X(mm)","Center-Y(mm)","Rotation","Layer","MPN","Footprint"
"R432","0R","9.3000","20.0500","90","TopLayer","RC0402FR-070RL","RES_0402"
"C430","100nF","16.8000","15.4500","180","TopLayer","GRM155R71H104KE14D","CAP_0402"
"R431","47k","16.8000","16.3500","0","TopLayer","RC0402FR-0747KL","RES_0402"
"R430","100k","14.9000","16.3500","180","TopLayer","RC0402FR-07100KL","RES_0402"
"U550","AP63200WU-7","10.5500","79.5000","90","TopLayer","AP63300WU-7","ICC_TSOT26_7"
"R554","47k","5.3500","76.1000","0","TopLayer","RC0402FR-0747KL","RES_0402"
"R553","150k","3.5000","76.1000","0","TopLayer","RC0402FR-07150KL","RES_0402"
"R551","47k","13.1500","78.0500","270","TopLayer","RC0402FR-0747KL","RES_0402"
"R550","150k","13.1500","80.0000","270","TopLayer","RC0402FR-07150KL","RES_0402"
"L500","4.7uH","4.8500","79.5000","180","TopLayer","FXL0530-4R7-M","IND_WRT_5030_520X520H280"
"C554","56pF","3.5000","75.2000","180","TopLayer","CC0402JRNPO9BN560","CAP_0402"
"C553","22uF","4.0000","73.1000","90","TopLayer","GRM21BZ71A226ME15L","CAP_0805"
"C552","22uF","2.3000","73.1000","90","TopLayer","GRM21BZ71A226ME15L","CAP_0805"
"C551","100nF","8.9000","77.3500","0","TopLayer","GRM155R71H104KE14D","CAP_0402"
"C550","10uF","10.5000","83.8000","270","TopLayer","CL31B106KBHNNNE","CAP_1206"
"R421","10k","16.0500","13.6000","0","TopLayer","RC0402FR-0710KL","RES_0402"
"Q400","NMOS","17.7500","11.1000","180","TopLayer","AO3400","PKG_SOT23-3_TO236"
"C301","470nF","37.0000","64.0500","90","TopLayer","CC0603KRX7R9BB474","CAP_0603"
"J100","M.2/NGFF B-Key H6.7","11.5500","64.9500","90","TopLayer","HYCW33B-05NGFF-670B","CON_NGFF_KEY-B_P67_H670"
"MECH100","M2.5, L = 5.0mm","41.2250","64.9500","270","TopLayer","SMTSO2550CTJ","MECH_PEM_SMTSO-M25-5ET"
"R445","1k","6.1500","40.7000","0","TopLayer","RC0402FR-071KL","RES_0402"
"R444","1k","8.0500","40.7000","180","TopLayer","RC0402FR-071KL","RES_0402"
"R441","1k","38.5500","12.6500","90","TopLayer","RC0402FR-071KL","RES_0402"
"R440","1k","39.5500","12.6500","90","TopLayer","RC0402FR-071KL","RES_0402"
"R311","10k","34.6500","16.4500","270","TopLayer","RC0402FR-0710KL","RES_0402"
"J752","3-pin, 1mm pitch","12.7000","50.5000","180","TopLayer","BM03B-SRSS-T","CON_JST_BM03B-SRSS-TB"
"U270","HY2120-LB","11.0000","16.6000","270","TopLayer","HY2120-LB","PKG_SOT23-6"
"SW270","TACT Switch","6.4500","15.6500","0","TopLayer","TS-3027-B","SWI_XKB_TS-3027-X"
"R274","100k","14.0000","14.3500","0","TopLayer","RC0402FR-07100KL","RES_0402"
"R273","1k","11.9000","14.3500","180","TopLayer","RC0402FR-071KL","RES_0402"
