Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF/16V,C_0603_1608Metric,125.0,-123.0,90.0,bottom
C10,100nF,C_0603_1608Metric,118.7,-118.0,90.0,bottom
C11,100nF,C_0603_1608Metric,114.7,-122.7,90.0,bottom
C12,100nF,C_0603_1608Metric,143.5,-118.0,270.0,bottom
C13,1uF/16V,C_0603_1608Metric,108.8,-111.5,90.0,bottom
C14,22nF,C_0603_1608Metric,111.9,-111.5,90.0,bottom
C2,1uF/16V,C_0603_1608Metric,127.0,-123.0,90.0,bottom
C3,4.7uF,C_0603_1608Metric,129.1,-123.0,90.0,bottom
C4,4.7uF,C_0603_1608Metric,125.0,-118.0,270.0,bottom
C5,100nF,C_0603_1608Metric,127.0,-118.0,270.0,bottom
C6,2.2uF/16V,C_0603_1608Metric,133.0,-123.0,90.0,bottom
C7,4.7uF/16V,C_0603_1608Metric,134.9,-123.0,90.0,bottom
C8,100nF,C_0603_1608Metric,134.9,-118.0,90.0,bottom
C9,1uF/16V,C_0603_1608Metric,116.7,-118.0,90.0,bottom
DS1,OLED-SSD1315 (LCSC:C18723009),X049-6432TSWPG02-H14,130.0,-118.2,0.0,top
J2L1,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left,110.0,-118.6,0.0,bottom
J3R1,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left,150.0,-118.6,0.0,bottom
R1,4.7k,R_0603_1608Metric,129.0,-118.0,270.0,bottom
R11,10k,R_0603_1608Metric,131.0,-118.0,270.0,bottom
R12,10k,R_0603_1608Metric,133.0,-118.0,90.0,bottom
R2,560k,R_0603_1608Metric,131.1,-123.0,90.0,bottom
R3,1k,R_0603_1608Metric,116.7,-122.7,270.0,bottom
R4,10k,R_0603_1608Metric,114.7,-118.0,270.0,bottom
R5,1k,R_0603_1608Metric,145.5,-118.0,270.0,bottom
R6,10k,R_0603_1608Metric,141.5,-118.0,90.0,bottom
SW1,C139797,SW_SPST_PTS810,114.0,-117.607,90.0,top
SW2,C139797,SW_SPST_PTS810,146.0,-117.607,90.0,top
U1,RT9193-3.3,SOT-23-5,116.0,-112.6,180.0,bottom
